Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,2:50:12.00,554,Michal Kapral,M,CAN,30/09/2007,Toronto Waterfront Marathon,
2,2:52:15.00,529,Zach Warren,M,USA,19/11/2006,Philadelphia Marathon,
3,2:52:39.00,524,Jean-Marc Doiron,M,CAN,12/05/2024,Fredericton Marathon,https://results.raceroster.com/v2/en-CA/results/mgba2wayykp2qux2/results  https://www.instagram.com/p/C64QdY6uqnH/
4,3:00:06.00,438,Michael-Lucien Bergeron,M,CAN,15/10/2023,Toronto Waterfront Marathon,https://www.strava.com/activities/10044512008
4,3:00:06.00,438,Chris Edwin,M,GBR,15/10/2023,Yorkshire Marathon,https://www.strava.com/activities/10042614562/
6,3:14:19.00,296,Daniel Raum,M,AUT,13/04/2019,"Linz Marathon, Austria",https://linzmarathon.r.mikatiming.de/2019/?pid=search
7,3:20:49.00,240,Paul-Erik Lillholm,M,NOR,10/08/2000,"Karlsruhe, Germany",
8,3:21:38.00,234,Perry Romanowski,M,USA,06/06/2009,"Sunburst Marathon, South Bend",
9,3:22:32.00,226,Ashrita Furman,M,USA,04/07/1988,Salmon River Idaho,
10,3:27:30.00,189,James McDiarmid,M,GBR,26/05/2024,Edinburgh Marathon,https://www.instagram.com/p/C7ce9jMIy37/
11,3:28:29.00,182,Ivan Schleppenbach,M,USA,19/05/2018,Fargo Marathon,https://www.mtecresults.com/runner/show?race=6660&rid=463
12,3:28:56.00,179,David Livingston,M,USA,26/09/2009,Akron Marathon,https://eu.beaconjournal.com/story/news/local/2015/09/24/wooster-runner-hopes-to-set/10301568007/  https://marathonview.net/search?query=david%20livingston
13,3:29:04.00,178,Albert Lucas,M,USA,1988,??,
14,3:31:11.00,163,Joe Salter,M,USA,22/11/2009,Philadelphia Marathon,
15,3:32:00.00,158,Mike Hebebrand,M,USA,05/03/1989,Los Angeles Marathon,https://www.latimes.com/archives/la-xpm-1989-04-24-me-1750-story.html
16,3:32:10.00,157,Erick Sells,M,USA,12/08/2023,Boulder Rez Marathon,https://my.raceresult.com/256528/#11_EA305B  https://www.strava.com/activities/9635073806/overview
17,3:34:38.00,141,Jordan Evans,M,GBR,15/04/2018,Brighton Marathon,
18,3:39:54.00,110,Jarek Widomski,M,POL,29/09/2018,Warsaw Marathon,
19,3:40:40.00,106,Chris Pert,M,USA,28/09/2014,"Yonkers Marathon, New York",https://marathonview.net/search?query=christopher%20pert
20,3:41:58.00,99,Scott Jenkins,M,GBR,26/05/2024,Edinburgh Marathon,https://www.strava.com/activities/11501787895
21,3:42:39.00,95,Samuel Dean,M,USA,12/11/2023,Madison Marathon,https://www.strava.com/activities/10207532452
22,3:45:50.00,80,Reg Bolton,M,GBR,1988,West Australian Marathon,https://www.heraldscotland.com/default_content/12429364.reg-bolton/  https://www.jugglingballs.com.au/15-famous-jugglers-from-australia-and-the-world/
23,3:52:33.00,51,Tom Gounley,M,USA,16/04/2012,Boston Marathon,http://registration.baa.org/2012/cf/public/iframe_ResultsSearch.cfm?mode=results  https://www.youtube.com/watch?v=LYoont-ebxA
24,3:53:37.00,47,Tim Butler,M,GBR,04/08/2024,Bedford Autodrome Marathon,Marathon #99: https://www.joggling.co.uk/Marathon-List
25,3:57:00.00,36,Michel Lauzière,M,CAN,30/05/1982,Montreal International Marathon,Email exchange
26,3:57:48.00,33,Trevor McQuay,M,USA,25/09/2022,Heartland Marathon,https://omaharun.org/wp-content/uploads/2022/10/ORCNewsletter_Fall-2022.pdf
27,4:00:43.00,25,Richard Ross,M,USA,07/04/2013,Paris Marathon,https://marathonview.net/result/66848234
28,4:01:12.00,24,Nigel Wakita,M,CAN,05/05/2019,Vancouver Marathon,https://www.instagram.com/p/BxGYO6IgjoJ/?hl=en
29,4:03:25.00,18,Justin Delong,M,USA,08/03/2020,Los Angeles Marathon,https://www.instagram.com/p/B9n74FxlkSX/  http://results2.xacte.com/#/e/2353/searchable
30,4:10:00.00,6,Barak Hirschowitz,M,USA,05/03/2023,Tokyo Marathon,https://www.marathon.tokyo/2023/result/detail.php
31,4:10:07.00,6,Peter Meyer,M,DEU,14/10/2007,Munich Marathon,https://marathonview.net/search?query=peter%20meyer  http://home.mnet-online.de/joggling/aboutme_d.htm
32,4:22:24.00,0,Koutaro Kawano,M,JPN,28/10/2021,"Time Trial, Yokohama","https://www.strava.com/activities/6176836328 His first full marathon, a Japanese record"
33,4:24:16.00,0,Jeff Civillico,M,USA,11/01/2009,"Disney Marathon, Orlando, FL",https://jeffcivillico.com/joggling-disney-marathon/
34,4:25:17.00,0,Shahar Cohen,M,ISR,28/02/2014,Tel Aviv Marathon,https://marathonview.net/search?query=Shahar%20Cohen  https://www.israel21c.org/israeli-juggler-sets-new-record-at-the-sea-of-galilee/
35,4:26:03.00,0,Mirek Urban,M,POL,27/09/2015,Warsaw Marathon,https://nnmaratonwarszawski.com/en/aktualnosci/official-results/ https://www.joggling.pl/polskie-rekordy-i-wyniki/pozostae-polskie-wyniki-w.html
36,4:28:48.00,0,Levent Denizci,M,TUR,16/11/2014,Istanbul Marathon,https://www.instagram.com/p/B8fnCXJAdqf/?hl=en  https://marathonview.net/search?query=levent%20denizci  https://www.instagram.com/p/BI34IF9jS2e/
37,4:37:31.00,0,Ralph Kidner,M,GBR,22/05/2011,Edinburgh Marathon,https://www.edinburghmarathon.com/results?name=ralph+kidner&running_number=&event=28&gender=&age_category=
38,4:38:18.00,0,Kevin Williams,M,GBR,06/04/2014,Brighton Marathon,https://www.theargus.co.uk/news/11010177.brighton-man-to-run-half-marathon-while-juggling-after-recovering-from-brain-injury/?fbclid=IwAR1USEy4inlcpMOKmdBCvst5ie4hlTLXAmXm0OyXbXI8X3sHv9V34gs7V68  https://marathonview.net/search?query=kevin%20williams
39,4:39:24.00,0,Rik Konings,M,NLD,10/08/2023,Eindhoven marathon ,
40,4:41:17.00,0,Jack Hirschowitz,M,USA,24/04/2016,London Marathon,content=detail&fpid=search&pid=search&idp=9999990F5ECC8300001A43AB&lang=EN_CAP&event=MAS&search%5Bname%5D=hirscho&search%5Bsex%5D=%25&search%5Bnation%5D=%25&search_sort=name&search_event=MAS    https://www.marathonfoto.com/Proofs?PIN=G9W113&LastName=HIRSCHOWITZrathonFoto - Virgin Money London Marathon 2016 - My Photos: JACK HIRSCHOWITZ
41,4:43:38.00,0,Bill Coad,M,USA,05/12/1991,California International Marathon,https://www.justyouraveragejoggler.com/bill-coad-entertainer-business-owner-and-joggler/  https://marathonview.net/search?query=william%20coad
42,4:57:25.00,0,Ingbert Bittel,M,DEU,17/06/2007,Fuerth Marathon,https://www.trackmyrace.com/en/running/event-zone/event/jahrtausend-marathon-fuerth/results/marathon/   https://www.teambittel.de/team/veranstaltungen_2007/20070617_fuerth.htm
43,5:08:17.00,0,Andrew Miller,M,USA,15/04/2024,Boston Marathon,https://www.baa.org/races/boston-marathon/results/search-results  https://www.facebook.com/reel/2073930479659957
44,5:10:53.00,0,Jonas Eberlein,M,DEU,2007,Moscow Peace Marathon,Messenger Chat with Jonas
45,5:21:12.00,0,Riley McLincha,M,USA,19/10/1997,Detroit Free Press Marathon,https://www.athlinks.com/event/154412/results/Event/15106/Course/22290/Entry/10440441
46,5:22:00.00,0,Peter Rupprecht,M,DEU,19/09/2021,Ludwig Canal Time Trial,https://perujo.de/joggling-marathon-geschafft-in-5-stunden-und-22-minuten
47,5:48:17.00,0,Jesse Joyner,M,USA,12/11/2011,SunTrust Richmond (Virginia) Marathon,https://www.trackshackresults.com/richmond/results/2011/mar_results.php?Link=5&Type=3&LName=Joyner&FName=Jesse&City=&State=&Country=
48,5:53:46.00,0,Barry Goldmeier,M,USA,22/11/2009,Philadelphia Marathon,https://marathonview.net/search?query=Barry%20Goldmeier  https://www.facebook.com/photo/?fbid=1770227386337053&set=gm.717510868420766
49,6:46:21.60,0,John Handy Bosma,M,USA,18/02/2024,Ascension Seton Austin,https://www.mychiptime.com/searchevent.php?id=15555
